ICD10Code,trad_icd_count,BFA_icd_count,trad_%,BFA_%
K26.9,4,0,1.6523514314808802e-11,0.0
I86.2,1,0,4.1308785787022006e-12,0.0
G72.81,3,3,1.2392635736106602e-11,2.7452038835908793e-11
B02.29,278,34,1.1483842448792117e-09,3.111231068069663e-10
E08.42,40,6,1.65235143148088e-10,5.4904077671817586e-11
G89.29,58242,41844,2.4059063018077353e-07,3.829010376832558e-07
G43.709,3965,1776,1.6378933564554225e-08,1.6251606990858006e-08
I63.311,1,1,4.1308785787022006e-12,9.150679611969598e-12
F31.9,272,113,1.1235989734069984e-09,1.0340267961525644e-09
J42.,13,3,5.3701421523128606e-11,2.7452038835908793e-11
G56.01,346,163,1.4292839882309614e-09,1.4915607767510444e-09
J34.2,15,3,6.1963178680533e-11,2.7452038835908793e-11
G62.9,5118,1331,2.114183656579786e-08,1.2179554563531533e-08
G43.719,1431,450,5.911287246122849e-09,4.117805825386319e-09
G81.94,64,9,2.6437622903694084e-10,8.235611650772638e-11
F41.9,11741,3389,4.850064539254253e-08,3.1011653204964965e-08
G31.84,115,38,4.75051036550753e-10,3.477258252548447e-10
M47.812,4721,632,1.9501877770053086e-08,5.783229514764785e-09
M75.01,241,35,9.955417374672302e-10,3.202737864189359e-10
M19.039,32,19,1.3218811451847042e-10,1.7386291262742234e-10
M47.892,5927,1349,2.448371733596794e-08,1.2344266796546986e-08
M75.122,141,60,5.824538795970102e-10,5.490407767181759e-10
M51.9,664,590,2.742903376258261e-09,5.398900971062062e-09
M54.15,23,1,9.501020731015061e-11,9.150679611969598e-12
M76.821,9,8,3.7177907208319803e-11,7.320543689575678e-11
M19.041,143,85,5.907156367544146e-10,7.778077670174158e-10
K76.0,40,29,1.65235143148088e-10,2.653697087471183e-10
M99.08,65,6,2.6850710761564303e-10,5.4904077671817586e-11
M22.2X1,84,26,3.4699380061098484e-10,2.379176699112095e-10
M99.02,1369,157,5.655172774243313e-09,1.4366566990792267e-09
M40.209,4,0,1.6523514314808802e-11,0.0
M71.562,6,3,2.4785271472213203e-11,2.7452038835908793e-11
M75.32,29,12,1.1979547878236381e-10,1.0980815534363517e-10
M54.6,20150,4245,8.323720336084934e-08,3.884463495281094e-08
M47.27,1105,296,4.564620829465932e-09,2.7086011651430006e-09
M19.011,692,445,2.8585679764619228e-09,4.072052427326471e-09
Z87.820,630,502,2.6024535045823863e-09,4.593641165208738e-09
Z72.0,3298,533,1.3623637552559857e-08,4.877312233179795e-09
Z96.698,3,0,1.2392635736106602e-11,0.0
